2022
Age,"Male % of Population","Female % of Population"
0,0.56%,0.54%
1,0.55%,0.53%
2,0.57%,0.54%
3,0.57%,0.55%
4,0.59%,0.56%
5,0.60%,0.57%
6,0.61%,0.59%
7,0.62%,0.59%
8,0.62%,0.59%
9,0.62%,0.59%
10,0.62%,0.59%
11,0.63%,0.59%
12,0.64%,0.61%
13,0.65%,0.62%
14,0.68%,0.64%
15,0.68%,0.64%
16,0.66%,0.63%
17,0.66%,0.63%
18,0.66%,0.63%
19,0.66%,0.63%
20,0.68%,0.65%
21,0.72%,0.70%
22,0.72%,0.68%
23,0.69%,0.66%
24,0.68%,0.64%
25,0.67%,0.64%
26,0.67%,0.64%
27,0.68%,0.65%
28,0.69%,0.66%
29,0.70%,0.67%
30,0.71%,0.69%
31,0.72%,0.70%
32,0.72%,0.70%
33,0.70%,0.68%
34,0.69%,0.67%
35,0.68%,0.66%
36,0.68%,0.66%
37,0.68%,0.66%
38,0.67%,0.65%
39,0.68%,0.66%
40,0.67%,0.66%
41,0.66%,0.65%
42,0.66%,0.65%
43,0.63%,0.62%
44,0.62%,0.61%
45,0.61%,0.60%
46,0.59%,0.58%
47,0.59%,0.59%
48,0.58%,0.58%
49,0.59%,0.59%
50,0.62%,0.61%
51,0.65%,0.65%
52,0.64%,0.64%
53,0.62%,0.61%
54,0.60%,0.60%
55,0.60%,0.61%
56,0.61%,0.62%
57,0.63%,0.64%
58,0.64%,0.66%
59,0.64%,0.66%
60,0.64%,0.66%
61,0.63%,0.66%
62,0.62%,0.65%
63,0.60%,0.64%
64,0.60%,0.64%
65,0.58%,0.63%
66,0.55%,0.60%
67,0.53%,0.59%
68,0.51%,0.57%
69,0.49%,0.55%
70,0.47%,0.53%
71,0.44%,0.50%
72,0.42%,0.48%
73,0.40%,0.47%
74,0.39%,0.46%
75,0.41%,0.48%
76,0.28%,0.34%
77,0.27%,0.33%
78,0.26%,0.32%
79,0.25%,0.32%
80,0.21%,0.27%
81,0.19%,0.25%
82,0.17%,0.23%
83,0.15%,0.21%
84,0.13%,0.19%
85,0.12%,0.17%
86,0.10%,0.16%
87,0.09%,0.15%
88,0.07%,0.13%
89,0.06%,0.12%
90,0.05%,0.10%
91,0.05%,0.09%
92,0.04%,0.08%
93,0.03%,0.06%
94,0.02%,0.05%
95,0.02%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0.01%,0.02%
99,0.00%,0.01%
100+,0.01%,0.02%

2021
Age,"Male % of Population","Female % of Population"
0,0.55%,0.53%
1,0.57%,0.54%
2,0.57%,0.55%
3,0.59%,0.56%
4,0.60%,0.57%
5,0.61%,0.59%
6,0.62%,0.59%
7,0.62%,0.59%
8,0.62%,0.59%
9,0.62%,0.59%
10,0.63%,0.59%
11,0.64%,0.61%
12,0.65%,0.62%
13,0.68%,0.64%
14,0.68%,0.64%
15,0.66%,0.63%
16,0.66%,0.63%
17,0.66%,0.63%
18,0.66%,0.63%
19,0.68%,0.65%
20,0.72%,0.69%
21,0.71%,0.68%
22,0.69%,0.65%
23,0.68%,0.64%
24,0.67%,0.63%
25,0.67%,0.63%
26,0.68%,0.65%
27,0.69%,0.66%
28,0.70%,0.67%
29,0.71%,0.69%
30,0.72%,0.70%
31,0.72%,0.70%
32,0.70%,0.68%
33,0.69%,0.67%
34,0.68%,0.66%
35,0.69%,0.66%
36,0.68%,0.66%
37,0.67%,0.65%
38,0.68%,0.66%
39,0.68%,0.66%
40,0.67%,0.65%
41,0.66%,0.65%
42,0.63%,0.62%
43,0.62%,0.61%
44,0.61%,0.60%
45,0.59%,0.58%
46,0.60%,0.59%
47,0.59%,0.58%
48,0.59%,0.59%
49,0.62%,0.62%
50,0.66%,0.65%
51,0.65%,0.64%
52,0.62%,0.62%
53,0.61%,0.61%
54,0.61%,0.61%
55,0.62%,0.62%
56,0.64%,0.65%
57,0.65%,0.66%
58,0.65%,0.67%
59,0.65%,0.67%
60,0.64%,0.67%
61,0.63%,0.66%
62,0.62%,0.65%
63,0.61%,0.64%
64,0.59%,0.63%
65,0.56%,0.61%
66,0.55%,0.60%
67,0.52%,0.58%
68,0.50%,0.56%
69,0.48%,0.54%
70,0.45%,0.51%
71,0.43%,0.49%
72,0.42%,0.48%
73,0.41%,0.47%
74,0.43%,0.49%
75,0.30%,0.35%
76,0.28%,0.34%
77,0.27%,0.33%
78,0.27%,0.33%
79,0.23%,0.29%
80,0.20%,0.26%
81,0.18%,0.24%
82,0.16%,0.22%
83,0.15%,0.21%
84,0.13%,0.19%
85,0.12%,0.17%
86,0.10%,0.16%
87,0.09%,0.14%
88,0.08%,0.13%
89,0.07%,0.12%
90,0.06%,0.10%
91,0.05%,0.09%
92,0.04%,0.08%
93,0.03%,0.06%
94,0.02%,0.05%
95,0.02%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0.01%,0.02%
99,0.00%,0.01%
100+,0.00%,0.02%

2020
Age,"Male % of Population","Female % of Population"
0,0.57%,0.54%
1,0.57%,0.55%
2,0.59%,0.56%
3,0.60%,0.57%
4,0.61%,0.59%
5,0.62%,0.59%
6,0.62%,0.59%
7,0.62%,0.59%
8,0.62%,0.59%
9,0.63%,0.60%
10,0.64%,0.61%
11,0.65%,0.62%
12,0.68%,0.65%
13,0.68%,0.64%
14,0.66%,0.63%
15,0.66%,0.63%
16,0.66%,0.63%
